SAL_NAME21,district_label,member,party,pct_area
Wongungarra,Gippsland East District,"BULL, Tim",The Nationals,63.29
Wongungarra,Ovens Valley District,"McCURDY, Tim",The Nationals,36.71
Wood Wood,Murray Plains District,"WALSH, Peter",The Nationals,99.42
Wood Wood,Mildura District,"BENHAM, Jade",The Nationals,0.45
Woods Point (Vic.),Eildon District,"McLEISH, Cindy",Liberal,90.49
Woods Point (Vic.),Gippsland East District,"BULL, Tim",The Nationals,9.51
Woodvale (Vic.),Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,68.72
Woodvale (Vic.),Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,31.26
Woosang,Mildura District,"BENHAM, Jade",The Nationals,60.34
Woosang,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,39.66
Wroxham,Gippsland East District,"BULL, Tim",The Nationals,99.48
Yalla-Y-Poora,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,83.71
Yalla-Y-Poora,Lowan District,"KEALY, Emma",The Nationals,16.29
Yallambie,Ivanhoe District,"CARBINES, Anthony",Australian Labor Party - Victorian Branch,86.11
Yallambie,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,13.81
Yallourn North,Morwell District,"CAMERON, Martin",The Nationals,65.64
Yallourn North,Narracan District,"FARNHAM, Wayne",Liberal,34.36
Yambuk,South-West Coast District,"BRITNELL, Roma",Liberal,98.64
Yandoit Hills,Bendigo West District,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,99.13
Yandoit Hills,Macedon District,"THOMAS, Mary-Anne",Australian Labor Party - Victorian Branch,0.87
Yarraberb,Ripon District,"HAYLETT, Martha",Australian Labor Party - Victorian Branch,70.43
Yarraberb,Bendigo East District,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,29.57
Yarraville,Footscray District,"HALL, Katie",Australian Labor Party - Victorian Branch,68.79
Yarraville,Williamstown District,"HORNE, Melissa",Australian Labor Party - Victorian Branch,31.2
Yellingbo,Eildon District,"McLEISH, Cindy",Liberal,81.45
Yellingbo,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,18.47
Yelta (Vic.),Mildura District,"BENHAM, Jade",The Nationals,99.44
