POA_NAME21,district_label,member,party,pct_area
3189,Brighton District,"NEWBURY, James",Liberal,2.03
3190,Sandringham District,"ROWSWELL, Brad",Liberal,69.48
3190,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,30.52
3192,Sandringham District,"ROWSWELL, Brad",Liberal,40.28
3192,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,32.08
3192,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,27.64
3194,Clarinda District,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,63.78
3194,Sandringham District,"ROWSWELL, Brad",Liberal,34.83
3194,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,1.38
3196,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,73.56
3196,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,26.11
3197,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,99.12
3197,Mordialloc District,"RICHARDSON, Tim",Australian Labor Party - Victorian Branch,0.58
3198,Carrum District,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,66.27
3198,Frankston District,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,33.66
3200,Frankston District,"EDBROOKE, Paul",Australian Labor Party - Victorian Branch,81.02
3200,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,18.97
3204,Bentleigh District,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,88.13
3204,Caulfield District,"SOUTHWICK, David",Liberal,7.07
3204,Oakleigh District,"DIMOPOULOS, Steve",Australian Labor Party - Victorian Branch,4.79
3205,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,93.54
3205,Prahran District,"HIBBINS, Sam",Australian Greens,6.46
3207,Albert Park District,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,98.87
3211,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,62.66
3211,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,37.34
3213,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,90.54
3213,Eureka District,"SETTLE, Michaela",Australian Labor Party - Victorian Branch,5.42
3213,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,4.04
3214,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,97.66
3216,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,85.85
3216,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,14.15
3217,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,84.6
3217,Polwarth District,"RIORDAN, Richard",Liberal,15.37
3218,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,94.58
3218,Lara District,"GEORGE, Ella",Australian Labor Party - Victorian Branch,5.18
3218,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,0.2
3221,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,99.26
3221,Polwarth District,"RIORDAN, Richard",Liberal,0.62
3221,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,0.12
3224,Geelong District,"COUZENS, Christine",Australian Labor Party - Victorian Branch,55.12
3224,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,44.54
3225,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,99.48
3227,Bellarine District,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,51.79
3227,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,47.98
3240,Polwarth District,"RIORDAN, Richard",Liberal,73.5
3240,South Barwon District,"CHEESEMAN, Darren",Australian Labor Party - Victorian Branch,26.5
3265,South-West Coast District,"BRITNELL, Roma",Liberal,58.64
3265,Polwarth District,"RIORDAN, Richard",Liberal,21.19
3265,Lowan District,"KEALY, Emma",The Nationals,20.17
3268,Polwarth District,"RIORDAN, Richard",Liberal,69.78
3268,South-West Coast District,"BRITNELL, Roma",Liberal,30.2
3270,Polwarth District,"RIORDAN, Richard",Liberal,53.58
3270,South-West Coast District,"BRITNELL, Roma",Liberal,46.29
3271,Lowan District,"KEALY, Emma",The Nationals,90.23
3271,Polwarth District,"RIORDAN, Richard",Liberal,9.76
3274,Lowan District,"KEALY, Emma",The Nationals,69.77
3274,South-West Coast District,"BRITNELL, Roma",Liberal,30.23
3280,South-West Coast District,"BRITNELL, Roma",Liberal,99.36
3289,Lowan District,"KEALY, Emma",The Nationals,74.4
3289,South-West Coast District,"BRITNELL, Roma",Liberal,25.6
3301,Lowan District,"KEALY, Emma",The Nationals,88.35
3301,South-West Coast District,"BRITNELL, Roma",Liberal,11.65
3302,Lowan District,"KEALY, Emma",The Nationals,88.21
3302,South-West Coast District,"BRITNELL, Roma",Liberal,11.79
3303,South-West Coast District,"BRITNELL, Roma",Liberal,77.86
3303,Lowan District,"KEALY, Emma",The Nationals,22.14
3304,South-West Coast District,"BRITNELL, Roma",Liberal,58.23
3304,Lowan District,"KEALY, Emma",The Nationals,41.74
