LGA_NAME25,district_label,member,party,pct_area
Swan Hill,Murray Plains District,"WALSH, Peter",The Nationals,40.23
Unincorporated Vic,Hastings District,"MERCURIO, Paul",Australian Labor Party - Victorian Branch,60.06
Unincorporated Vic,Eildon District,"McLEISH, Cindy",Liberal,19.88
Unincorporated Vic,Ovens Valley District,"McCURDY, Tim",The Nationals,15.75
Unincorporated Vic,Narracan District,"FARNHAM, Wayne",Liberal,1.52
Wellington,Gippsland East District,"BULL, Tim",The Nationals,61.04
Wellington,Gippsland South District,"O'BRIEN, Danny",The Nationals,38.93
Whitehorse,Box Hill District,"HAMER, Paul",Australian Labor Party - Victorian Branch,45.12
Whitehorse,Ringwood District,"FOWLES, Will",Australian Labor Party - Victorian Branch,26.43
Whitehorse,Glen Waverley District,"MULLAHY, John",Australian Labor Party - Victorian Branch,23.44
Whitehorse,Ashwood District,"FREGON, Matt",Australian Labor Party - Victorian Branch,4.88
Whitehorse,Kew District,"WILSON, Jess",Liberal,0.1
Whittlesea,Yan Yean District,"KATHAGE, Lauren",Australian Labor Party - Victorian Branch,68.27
Whittlesea,Thomastown District,"HALFPENNY, Bronwyn",Australian Labor Party - Victorian Branch,18.49
Whittlesea,Mill Park District,"D'AMBROSIO, Lily",Australian Labor Party - Victorian Branch,8.57
Whittlesea,Eildon District,"McLEISH, Cindy",Liberal,2.75
Whittlesea,Bundoora District,"BROOKS, Colin",Australian Labor Party - Victorian Branch,1.91
Wyndham,Werribee District,"PALLAS, Tim",Australian Labor Party - Victorian Branch,62.48
Wyndham,Tarneit District,"WIGHT, Dylan",Australian Labor Party - Victorian Branch,14.09
Wyndham,Point Cook District,"HILAKARI, Mathew",Australian Labor Party - Victorian Branch,13.91
Wyndham,Laverton District,"CONNOLLY, Sarah",Australian Labor Party - Victorian Branch,9.41
Yarra,Richmond District,"DE VIETRI, Gabrielle",Australian Greens,63.68
Yarra,Brunswick District,"READ, Tim",Australian Greens,18.53
Yarra,Northcote District,"THEOPHANOUS, Kat",Australian Labor Party - Victorian Branch,17.67
Yarra Ranges,Eildon District,"McLEISH, Cindy",Liberal,78.89
Yarra Ranges,Evelyn District,"VALLENCE, Bridget",Liberal,10.32
Yarra Ranges,Monbulk District,"DE MARTINO, Daniela",Australian Labor Party - Victorian Branch,9.85
Yarra Ranges,Warrandyte District,"SMITH, Ryan",Liberal,0.61
Yarra Ranges,Croydon District,"HODGETT, David",Liberal,0.3
Yarriambiack,Mildura District,"BENHAM, Jade",The Nationals,51.81
Yarriambiack,Lowan District,"KEALY, Emma",The Nationals,48.19
